epoch,accuracy,loss,val_accuracy,val_loss
0,0.2144097238779068,2.171381711959839,0.390625,1.8602216243743896
1,0.4210069477558136,1.67142915725708,0.5703125,1.3927946090698242
2,0.5868055820465088,1.3101871013641357,0.6796875,1.1193060874938965
3,0.6657986044883728,1.0881767272949219,0.7109375,1.032177209854126
4,0.6953125,0.9651215076446533,0.765625,0.8272159099578857
5,0.7734375,0.7864294648170471,0.8046875,0.7384745478630066
6,0.7951388955116272,0.6932569742202759,0.7734375,0.7304446697235107
7,0.8125,0.6243388652801514,0.8359375,0.6146885752677917
8,0.8506944179534912,0.5296766757965088,0.859375,0.5751002430915833
9,0.8654513955116272,0.5187280178070068,0.84375,0.538701057434082
10,0.8836805820465088,0.42665353417396545,0.8515625,0.5051499009132385
11,0.9079861044883728,0.38019859790802,0.8671875,0.4667600393295288
12,0.9244791865348816,0.33804431557655334,0.875,0.4405938982963562
13,0.9305555820465088,0.31347528100013733,0.8828125,0.4238787889480591
14,0.9322916865348816,0.29251229763031006,0.84375,0.44949638843536377
15,0.9392361044883728,0.27693530917167664,0.890625,0.3810889422893524
16,0.9583333134651184,0.23147450387477875,0.890625,0.3419111669063568
17,0.9678819179534912,0.20537647604942322,0.9296875,0.32407277822494507
18,0.9618055820465088,0.20561622083187103,0.90625,0.3545297384262085
19,0.9661458134651184,0.19628967344760895,0.9375,0.31820160150527954
20,0.9739583134651184,0.17955619096755981,0.9296875,0.31860941648483276
21,0.9713541865348816,0.17588765919208527,0.9296875,0.3141428828239441
22,0.9817708134651184,0.149663046002388,0.8984375,0.3089776039123535
23,0.9765625,0.15819664299488068,0.9296875,0.2954169511795044
24,0.9826388955116272,0.13707420229911804,0.9140625,0.3314560651779175
25,0.9765625,0.14627042412757874,0.90625,0.31679075956344604
26,0.9696180820465088,0.1608903706073761,0.8984375,0.32483670115470886
27,0.9835069179534912,0.14221496880054474,0.9140625,0.30406978726387024
28,0.9861111044883728,0.1254659742116928,0.9296875,0.2654283940792084
29,0.9904513955116272,0.1057375967502594,0.9453125,0.27488985657691956
